Generation	Inchi	Smiles	Molecular Weight	Molecular Formula	No. Carbons	No. Hydrogens	No. Oxygens	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness
G4	MREMXNPSTNMQFM	C1(C(O)OC(CO)(C)C1CO)=O	176.068473484	C7H12O5	7	12	5.0	-1.4743	-0.09	5	3	86.99	-2.5638
G4	NYIVTMHPNPYYBZ	C(C1(C(CO)C(CO1)(C)O)O)=O	176.068473484	C7H12O5	7	12	5.0	-1.8907	-0.123	5	3	86.99	-1.2688
G4	SMXXDFMORMZOIE	C1(C(O)OC(CN)C1CO)=O	161.068807832	C6H11NO4	6	11	4.0	-2.1701	-0.057	5	3	92.78	0.90377
G4	YRLQKZXUDCGITL	C1C(C)(C(C(CCO)(O)O1)O)O	178.084123548	C7H14O5	7	14	5.0	-1.4187	-0.126	5	4	90.15	0.55222
G4	OLDYOZLONVKVGM	C1C(C)(C(CO)C(CO)(O)O1)O	178.084123548	C7H14O5	7	14	5.0	-1.6784	0.092	5	4	90.15	0.67498
G4	NXGLBMZNYDESRZ	C1C(CCO)(CC(CO)(O)O1)O	178.084123548	C7H14O5	7	14	5.0	-1.4933	-0.018	5	4	90.15	-4.9301
G4	KKGSEJAAVFPUIB	CC1(C(C(CO1)(CCO)O)O)O	178.084123548	C7H14O5	7	14	5.0	-1.4187	-0.126	5	4	90.15	0.49828
G4	YKQHFVZVSFZJMD	C1C(CC(O)O1)(CCO)O	148.073558864	C6H12O4	6	12	4.0	-0.8309	-0.278	4	3	69.92	-1.6089
G4	SFWQIWHXJDKAAI	C1C(CCO)(C(C(O)O1)N)O	163.084457896	C6H13NO4	6	13	4.0	-2.0808	0.045	5	4	95.94	-1.2552
G4	ZCMYOAUAPVYIKY	C(C)(C(C1C(CC(O)O1)O)O)=O	176.068473484	C7H12O5	7	12	5.0	-1.4979	-0.577	5	3	86.99	0.1831
G4	KATASTMAJFAEQK	C(CC1C(C(C(C)(O)O1)O)O)=O	176.068473484	C7H12O5	7	12	5.0	-1.6043	-0.61	5	3	86.99	-2.6176
G4	KAXSBVXULWVXCV	C(C(C1C(C)(CC(O)O1)O)O)=O	176.068473484	C7H12O5	7	12	5.0	-1.7403	-0.472	5	3	86.99	-1.3601
G4	HVUXTISLTNWIHE	C(CC1(C)C(C(C(O)O1)O)O)=O	176.068473484	C7H12O5	7	12	5.0	-1.5706	-0.472	5	3	86.99	-2.0556
G4	RRFLXNILKZSPEI	C(C1C(C(C(O1)O)N)O)=O	147.053157768	C5H9NO4	5	9	4.0	-2.7208	-0.169	5	3	92.78	-1.9059
G4	DDDSGOHMPYCNPO	C1C(C)(CC(CO)(O)O1)O	148.073558864	C6H12O4	6	12	4.0	-1.021	-0.255	4	3	69.92	-1.8895
G4	MSJRGKKPDPWLQQ	C1C(C)(C(C(C)(O)O1)O)O	148.073558864	C6H12O4	6	12	4.0	-0.9464	-0.363	4	3	69.92	2.4539
G4	IFJHFVNHDALBRY	C(CO)(CC1CC(C(O)O1)O)=O	176.068473484	C7H12O5	7	12	5.0	-1.4028	-0.469	5	3	86.99	-3.0665
G4	YRMMWJUIPOVHFE	C(C)(C(C1CC(C(O)O1)O)O)=O	176.068473484	C7H12O5	7	12	5.0	-1.4979	-0.577	5	3	86.99	0.26167
G4	HXGKICFOUVCMPS	C(C(C1C(O)OCC1(C)O)O)=O	176.068473484	C7H12O5	7	12	5.0	-1.7957	-0.254	5	3	86.99	-1.0877
