Generation	Inchi	Smiles
G3	OEVVJWOUJIUREO	C(CC(C(C(CO)=O)N)O)=O
G3	QOJKBNZXYZFGLT	C1(C(C(CO)O)OCC1O)=O
G3	NSEFGBGANVMEIR	C1(C(CC(C(CO)O)O1)O)=O
G3	TWOSIGGTFLLPLQ	C1(C(C(CO)OCC1O)O)=O
G3	GTGDSXQRKKKXQC	C1(C(CC(C(CO)O1)O)O)=O
G3	SFZJIWQYYLRQLK	C1(C(CO)OC(CC1O)O)=O
G3	YEVOKMDALIJSDL	C1(C(O)OC(CO)CC1O)=O
G3	PWBXJGMQCOHUAQ	C1(C(C(COCC1O)O)O)=O
G3	GEROFWUZHDVEDM	C1(C(CC(C(CO1)O)O)O)=O
G3	QTIDAWPRPJXIOG	C1(C(CC(O)OCC1O)O)=O
G3	MEOHGBRMKAWTNN	C1(C(O)OCC(CC1O)O)=O
G3	WXTOYSWTFPUPNN	C1(COC(C(CC1O)O)O)=O
G3	PFCZCTPDOYHDHY	C1(C(CCOC(C1O)O)O)=O
G3	HSOKHBXSDGOGOE	C(C(CO)O)=C(C(CO)=O)N
G3	DHTLDIAGEBDQCB	C(CC(C(C(CO)N)=O)O)=O
