Generation	Inchi	Smiles	Molecular Weight	Molecular Formula	No. Carbons	No. Hydrogens	No. Oxygens	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness
G4	IDLYJIVQWLLZMF	C(C1C(O)OCC(C1O)N)=O	161.068807832	C6H11NO4	6	11	4.0	-2.4342	-0.221	5	3	92.78	-2.0523
G4	SAJSNNMGPBDBRD	C1C(C(CC(O)O1)O)N	133.073893212	C5H11NO3	5	11	3.0	-1.5645	-0.353	4	3	75.71	0.84449
G4	KOKQIXXJMLELEZ	C1(CC(C(C(CN)O1)O)O)O	163.084457896	C6H13NO4	6	13	4.0	-2.1665	-0.224	5	4	95.94	0.68479
G4	MXHSEMHZARQHPQ	C(C1C(C(CC(O)O1)O)N)O	163.084457896	C6H13NO4	6	13	4.0	-2.1665	-0.224	5	4	95.94	0.75401
G4	UWORKXAOYBCSMC	C1(COC(C(C1O)O)O)=O	148.037173356	C5H8O5	5	8	5.0	-1.8751	0.071	5	3	86.99	1.3572
G4	RPGHPZNKSOZHMH	C1(COC(C(C1N)O)O)=O	147.053157768	C5H9NO4	5	9	4.0	-2.2729	-0.0049999	5	3	92.78	-0.35976
G4	NPHQHBIAJQDPRC	C1(COC(C(C)(C1O)O)O)=O	162.05282342	C6H10O5	6	10	5.0	-1.5771	-0.038	5	3	86.99	3.2009
G4	DTLOHBTXNIYNQB	C1(COC(C)(C(C1O)O)O)=O	162.05282342	C6H10O5	6	10	5.0	-1.6108	-0.176	5	3	86.99	2.8959
G4	VVWKTMFZWQQERU	C1(C(O)OCC(CO)(C1)O)=O	162.05282342	C6H10O5	6	10	5.0	-1.6517	0.07	5	3	86.99	-1.8624
G4	TUSOLGWXDKFXGR	C1C(C(CO)(CC(O)O1)O)O	164.068473484	C6H12O5	6	12	5.0	-1.7954	0.121	5	4	90.15	-4.2723
G4	CNTBUSZDEMPDCA	C1(COC(C(C)(C1N)O)O)=O	161.068807832	C6H11NO4	6	11	4.0	-1.9749	-0.114	5	3	92.78	-3.2756
G4	QXAVWFWGLCWZKI	C1(C(O)OCC(CN)(C1)O)=O	161.068807832	C6H11NO4	6	11	4.0	-2.0495	-0.006	5	3	92.78	1.3526
G4	FAIOGPFLWTZPQZ	C1C(C(CN)(CC(O)O1)O)O	163.084457896	C6H13NO4	6	13	4.0	-2.1932	0.045	5	4	95.94	-1.0356
G4	IITUNCPBJUZGAY	C1C(CO)(C(CC(O)O1)O)O	164.068473484	C6H12O5	6	12	5.0	-1.7954	0.121	5	4	90.15	0.64021
G4	VSKCFEBKBHJJAK	C1(C(O)OC(C(C1)O)CN)=O	161.068807832	C6H11NO4	6	11	4.0	-2.0228	-0.275	5	3	92.78	1.9178
G4	LBJWYRASHSNTEP	C(C1(CC(C(CO1)O)O)O)=O	162.05282342	C6H10O5	6	10	5.0	-2.0414	-0.232	5	3	86.99	-5.9432
G4	ZVQAVWAHRUNNPG	C1C(C(CC(O)O1)O)O	134.0579088	C5H10O4	5	10	4.0	-1.1667	-0.277	4	3	69.92	-3.1401
G4	PMMURAAUARKVCB	C(C1C(C(CC(O)O1)O)O)O	164.068473484	C6H12O5	6	12	5.0	-1.7687	-0.148	5	4	90.15	-0.051048
G4	YKELKTPLPNAIIR	C(C1(CCOC(C1N)O)O)=O	161.068807832	C6H11NO4	6	11	4.0	-2.4055	-0.17	5	3	92.78	-3.2281
