Generation	Smiles	Inchi	Energy	Molecular Formula	Monoisotopic Mass	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness
G2	C(CC(C(C(CO)O)=O)O)=O	ZJCIIXYSVSASQO	53.5581	C6H10O5	162.052825	-2.3675	-0.119	5	3	94.83	-1.2863
G2	C(C(CO)=O)(CC(CO)O)=O	OKVIFNQBEGMUGM	50.7285	C6H10O5	162.052825	-2.1864	0.045	5	3	94.83	-7.9949
G2	C(C(C(CC(CO)O)O)=O)=O	LZWSFTUENIWOJY	64.7371	C6H10O5	162.052825	-2.3675	-0.119	5	3	94.83	-5.906
G2	C(C(CO)O)(CC(CO)=O)=O	JVFNKFJEKRIBEO	46.4767	C6H10O5	162.052825	-2.1864	0.045	5	3	94.83	-7.1275
G2	C(C(CC(C(CO)=O)O)O)=O	IIVQAABKLUTFMY	65.1291	C6H10O5	162.052825	-2.3675	-0.119	5	3	94.83	-1.503
G2	C(CCO)(C(C(CO)=O)O)=O	RWEGJCQFZKJRNT	53.4177	C6H10O5	162.052825	-2.1864	0.045	5	3	94.83	-0.24532
G2	C(C(C(C(CCO)O)=O)O)=O	KQLFTMYZWPHWPS	60.0851	C6H10O5	162.052825	-2.3675	-0.119	5	3	94.83	-3.2446
G2	C(CO)(C(CC(CO)=O)O)=O	QORDBZPIKABGJM	51.3222	C6H10O5	162.052825	-2.1864	0.045	5	3	94.83	-0.64991
G2	C(C(C(CC(C=O)O)O)O)=O	ZAZMXMODCOTURY	58.9223	C6H10O5	162.052825	-2.5486	-0.283	5	3	94.83	-3.4916
G2	C(C)(C(C(C(CO)=O)O)O)=O	KFHNTUHHTDAEOF	73.2813	C6H10O5	162.052825	-2.2815	-0.063	5	3	94.83	1.7739
G2	C(C(C(C=O)O)O)(C(C)O)=O	LLJOTQMGGPLNOO	79.4675	C6H10O5	162.052825	-2.4626	-0.227	5	3	94.83	-2.9726
G2	C(CC(C(C(CO)=O)O)O)=O	DPJVCISCLBZLDP	60.8729	C6H10O5	162.052825	-2.3675	-0.119	5	3	94.83	-0.51952
G2	C(C(C(CO)O)O)O	UNXHWFMMPAWVPI	67.858	C4H10O4	122.05791	-2.011	0.288	4	4	80.92	-1.1346
G2	C(CO)(CC(C(CO)O)O)=O	OXFWZSUJNURRMW	56.5248	C6H12O5	164.068475	-2.1552	0.096	5	4	97.99	-1.6379
G2	C(C(C(CO)O)O)(CCO)=O	MSERTCQRMJDWLM	51.537	C6H12O5	164.068475	-2.1552	0.096	5	4	97.99	-1.4929
G2	C(C(CO)O)(CC(CO)O)=O	ZFKOVTBOKTVFNN	53.8471	C6H12O5	164.068475	-2.1552	0.096	5	4	97.99	-3.0105
G2	C(C)(C(C(C(CO)O)O)O)=O	IXDZFGATLNCIOI	80.4735	C6H12O5	164.068475	-2.2503	-0.012	5	4	97.99	0.97333
G2	C(CC(C(C(CO)O)O)O)=O	VRYALKFFQXWPIH	85.4785	C6H12O5	164.068475	-2.3363	-0.068	5	4	97.99	-2.1384
G2	C(C(C(C(CCO)O)O)O)=O	QITFYRWXWLBOON	85.9222	C6H12O5	164.068475	-2.3363	-0.068	5	4	97.99	-4.2599
G2	C(C(C(CO)O)O)(O)=O	JPIJQSOTBSSVTP	55.6728	C4H8O5	136.037175	-2.3606	0.306	5	4	97.99	0.99073
G2	C1(CC(C(C1(CO)O)O)O)=O	OOMLFVGHKQXLAI	83.3414	C6H10O5	162.052825	-2.1834	0.063	5	4	97.99	1.5908
G2	C(C1(C(C(CC1O)O)O)O)=O	KTMZJGYSSGDOQI	83.7611	C6H10O5	162.052825	-2.5394	-0.101	5	4	97.99	-1.9574
G2	C1(CC(C(C(CO)O)O1)O)=O	WIKTYYPIOVPRBF	37.3529	C6H10O5	162.052825	-2.0417	-0.316	5	3	86.99	-1.6028
G2	C1(COC(C(CO)O)C1O)=O	QMKUJGYJIQIANY	91.658	C6H10O5	162.052825	-2.1839	0.014	5	3	86.99	0.90308
